Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price_Diff
2017-06-25,773.66125,911.60625,920.55875,748.49625,-137.94500000000005
2017-06-26,785.89375,773.66125,829.08875,747.685,12.232499999999959
2017-06-27,821.68875,785.89375,840.23,775.35875,35.79500000000007
2017-06-28,822.19625,821.68875,836.555,811.6425,0.5074999999999363
2017-06-29,831.74,822.19625,835.7025,811.21625,9.543750000000045
2017-06-30,849.58125,831.74,849.58125,821.91625,17.841249999999945
2017-07-01,891.29375,849.58125,915.8025,849.58125,41.71250000000009
2017-07-02,889.0625,891.29375,902.83375,849.60875,-2.2312500000000455
2017-07-03,897.16375,889.0625,906.4225,885.185,8.10125000000005
2017-07-04,921.58875,897.16375,922.18125,883.29625,24.424999999999955
2017-07-05,935.7775,921.58875,937.2525,913.0725,14.188750000000027
2017-07-06,921.365,935.7775,937.7525,894.0075,-14.412500000000023
2017-07-07,913.2125,921.365,927.9975,892.405,-8.152500000000032
2017-07-08,899.55,913.2125,923.1475,885.78875,-13.662500000000023
2017-07-09,902.05,899.55,902.48,889.01875,2.5
2017-07-10,913.84375,902.05,920.1325,897.2825,11.793750000000045
2017-07-11,920.795,913.84375,922.56875,910.4,6.951249999999959
2017-07-12,921.82875,920.795,923.06125,918.82125,1.0337500000000546
2017-07-13,917.91125,921.82875,922.50875,913.955,-3.917500000000018
2017-07-14,922.35125,917.91125,922.8175,916.77,4.440000000000055
2017-07-15,974.065,922.35125,979.185,921.64875,51.713750000000005
2017-07-16,983.8275,974.065,993.41875,965.4075,9.762499999999932
2017-07-17,1021.09,983.8275,1021.12375,983.33375,37.262500000000045
2017-07-18,1012.215,1021.09,1025.1425,996.87,-8.875
2017-07-19,1030.40124,1012.215,1041.08625,1005.3775,18.186239999999884
2017-07-20,1020.3125,1030.40124,1031.33625,1007.51875,-10.088739999999916
2017-07-21,1030.40875,1020.3125,1031.405,1019.23,10.096250000000055
2017-07-22,1068.70875,1030.40875,1068.79625,1030.40875,38.299999999999955
2017-07-23,1073.205,1068.70875,1073.22875,1019.19125,4.496249999999918
2017-07-24,975.95875,1073.205,1078.7625,943.45375,-97.24624999999992
2017-07-25,998.2275,975.95875,1001.98625,955.27625,22.268749999999955
2017-07-26,1005.71375,998.2275,1016.99625,998.2275,7.486250000000041
2017-07-27,1005.85375,1005.71375,1009.49,998.45625,0.13999999999998636
2017-07-28,995.58,1005.85375,1008.28,977.28875,-10.27374999999995
2017-07-29,1004.59,995.58,1017.445,988.33125,9.009999999999991
2017-07-30,1019.41125,1004.59,1022.98375,1002.00375,14.821249999999964
2017-07-31,1039.86625,1019.41125,1042.52375,1017.995,20.45500000000004
2017-08-01,1059.315,1039.86625,1059.60375,1028.9875,19.448750000000018
2017-08-02,1053.84375,1059.315,1067.83625,1052.02,-5.471250000000055
2017-08-03,1047.66249,1053.84375,1062.3175,1046.30874,-6.181260000000066
2017-08-04,1080.5825,1047.66249,1085.50375,1047.66249,32.92001000000005
2017-08-05,1113.86375,1080.5825,1127.48625,1080.3475,33.28125
2017-08-06,1123.515,1113.86375,1133.51,1102.9,9.651250000000118
2017-08-07,1194.501,1123.515,1194.961,1121.73,70.98599999999988
2017-08-08,1183.429,1194.501,1207.596,1102.385,-11.071999999999889
2017-08-09,1140.848,1183.429,1185.183,1127.26,-42.58100000000013
2017-08-10,1190.366,1140.848,1193.252,1140.795,49.51800000000003
2017-08-11,1190.94699,1190.366,1211.156,1174.095,0.5809899999999288
2017-08-12,1194.611,1190.94699,1199.163,1180.97,3.6640100000001894
2017-08-13,1222.05,1194.611,1234.298,1188.33199,27.43899999999985
2017-08-14,1270.776,1222.05,1285.334,1217.03,48.72600000000011
2017-08-15,1286.376,1270.776,1294.469,1259.487,15.599999999999909
2017-08-16,1261.668,1286.376,1288.61,1240.568,-24.708000000000084
2017-08-17,1274.24699,1261.668,1281.579,1246.911,12.578990000000204
2017-08-18,1281.30499,1274.24699,1286.181,1269.809,7.057999999999993
2017-08-19,1207.357,1281.30499,1281.427,1189.174,-73.94799000000012
2017-08-20,1154.06,1207.357,1226.5,1136.086,-53.297000000000025
2017-08-21,1201.557,1154.06,1209.63899,1148.435,47.49700000000007
2017-08-22,1148.625,1201.557,1326.81299,1023.68,-52.932000000000016
2017-08-23,1187.351,1148.625,1201.383,1147.877,38.72600000000011
2017-08-24,1236.553,1187.351,1238.781,1179.066,49.202
2017-08-25,1243.806,1236.553,1248.261,1217.20699,7.252999999999929
2017-08-26,1246.892,1243.806,1258.797,1228.108,3.0860000000000127
2017-08-27,1248.67099,1246.892,1261.62999,1246.099,1.7789900000000216
2017-08-28,1127.08199,1248.67099,1249.29199,1104.531,-121.58900000000017
2017-08-29,1063.07,1127.08199,1165.222,1058.345,-64.01198999999997
2017-08-30,1001.24599,1063.07,1095.412,945.113,-61.82400999999993
